date,Humidity,Windspeed,Temperature,Precipitation,PM10
2018-08-23,74,15,69,0.0,32
2018-08-24,75,14,68,0.0,52
2018-08-25,79,13,68,0.0,36
2018-08-26,76,16,70,0.0,30
2018-08-27,75,14,65,0.0,30
2018-08-30,62,14,68,0.0,31
2018-08-31,74,12,68,0.0,37
2017-08-22,77,15,66,0.0,23
2017-08-23,83,15,68,0.0,24
2017-08-24,81,16,67,0.0,21
2017-08-25,87,10,67,0.0,23
2017-08-26,89,16,67,0.0,13
2017-08-27,87,15,66,0.0,15
2017-08-28,84,13,69,0.0,27
2017-08-29,72,10,72,0.0,42
2017-08-30,74,12,72,0.0,45
2017-08-31,69,12,76,0.0,53
2017-09-01,74,13,75,0.0,51
2017-09-02,71,16,79,0.0,48
2017-09-03,64,18,84,0.0,41
2017-09-04,90,13,73,0.01,22
2017-09-05,82,20,71,0.0,32
2017-09-06,82,16,70,0.0,30
2017-09-07,76,12,70,0.0,38
2017-09-08,78,13,68,0.0,27
2017-09-09,84,13,66,0.0,22
2017-09-10,84,22,66,0.13,21
2017-09-11,81,14,74,0.02,27
2017-09-12,84,18,69,0.0,18
2017-09-13,79,17,68,0.0,16
2017-09-14,77,18,67,0.0,12
2017-09-15,79,17,65,0.0,19
2017-09-16,75,13,64,0.0,24
2017-09-17,87,10,65,0.0,25
2017-09-18,83,14,63,0.0,20
2017-09-19,81,10,65,0.0,23
2017-09-20,82,13,64,0.0,24
2017-09-21,63,28,66,0.0,36
2017-09-22,59,23,61,0.0,28
2017-09-23,71,13,60,0.0,24
2017-09-24,57,15,63,0.0,19
2017-09-25,58,9,65,0.0,27
2017-09-26,53,8,67,0.0,32
2017-09-27,75,14,64,0.0,33
2017-09-28,81,13,64,0.0,24
2017-09-29,71,13,66,0.0,35
2017-09-30,85,12,65,0.0,34
2017-10-01,83,10,62,0.0,34
2017-10-02,81,14,63,0.0,35
2017-10-03,78,9,60,0.0,33
2017-10-04,53,12,60,0.0,35
2017-10-05,62,12,61,0.0,39
2017-10-06,50,14,67,0.0,44
2017-10-07,63,10,67,0.0,38
2017-10-08,82,12,61,0.0,39
2017-10-09,61,16,66,0.0,67
2017-10-10,71,15,60,0.0,46
2017-10-11,82,12,61,0.0,39
2017-10-12,70,15,63,0.0,45
2017-10-13,75,10,60,0.0,43
2017-10-14,69,9,61,0.0,37
2017-10-15,52,12,66,0.0,26
2017-10-16,50,15,67,0.0,31
2017-10-17,48,15,73,0.0,46
2017-10-18,63,14,71,0.0,53
2017-10-19,62,22,67,0.0,42
2017-10-20,51,26,69,0.0,27
2017-10-21,55,16,61,0.0,37
2017-10-22,52,9,64,0.0,25
2017-10-23,50,13,73,0.0,41
2017-10-24,52,15,76,0.0,28
2017-10-25,39,12,75,0.0,39
2017-10-26,48,12,67,0.0,36
2017-10-27,75,12,62,0.0,36
2017-10-28,92,13,60,0.0,15
2017-10-29,86,15,61,0.0,23
2017-10-30,81,13,63,0.0,21
2017-10-31,74,9,64,0.0,19
2017-11-01,69,15,64,0.0,15
2017-11-02,65,13,64,0.0,11
2017-11-03,75,10,61,0.0,14
2017-11-04,76,21,60,0.0,12
2017-11-05,67,15,62,0.0,11
2017-11-06,74,12,59,0.0,16
2017-11-07,68,10,60,0.0,17
2017-11-08,66,13,60,0.0,13
2017-11-09,84,17,60,0.0,9
2017-11-10,79,10,58,0.0,13
2017-11-11,79,10,57,0.0,20
2017-11-12,79,8,58,0.0,18
2017-11-13,78,12,56,0.0,25
2017-11-14,81,10,61,0.0,25
2017-11-15,69,9,62,0.0,28
2017-11-16,84,12,62,0.07,22
2017-11-17,81,22,61,0.0,17
2017-11-18,74,13,56,0.0,25
2017-11-19,69,14,54,0.0,23
2017-11-20,69,12,57,0.0,30
2017-11-21,51,12,66,0.0,31
2017-11-22,56,12,70,0.0,21
2017-11-23,62,9,66,0.0,25
2017-11-24,79,9,60,0.0,32
2017-11-25,66,14,64,0.0,22
2017-11-26,92,14,59,0.0,17
2017-11-27,58,28,59,0.0,16
2017-11-28,58,8,53,0.0,36
2017-11-29,66,15,56,0.0,29
2017-11-30,76,14,53,0.0,29
2017-12-01,76,10,55,0.0,31
2017-12-02,74,13,54,0.0,33
2017-12-03,80,9,54,0.0,27
2017-12-04,74,10,51,0.0,30
2017-12-05,49,15,48,0.0,89
2017-12-06,52,9,50,0.0,163
2017-12-07,37,15,55,0.0,337
2017-12-08,39,7,54,0.0,144
2017-12-09,41,8,55,0.0,171
2017-12-10,38,12,59,0.0,203
2017-12-11,34,12,58,0.0,235
2017-12-12,33,7,56,0.0,187
2017-12-13,54,9,56,0.0,154
2017-12-14,60,9,52,0.0,145
2017-12-15,54,10,56,0.0,117
2017-12-16,59,20,57,0.0,252
2017-12-17,55,15,52,0.0,147
2017-12-18,50,10,51,0.0,74
2017-12-19,72,13,51,0.0,56
2017-12-20,62,25,53,0.0,61
2017-12-21,52,12,47,0.0,41
2017-12-22,61,10,45,0.0,33
2017-12-23,59,9,48,0.0,26
2017-12-24,60,13,54,0.0,27
2017-12-25,74,8,52,0.0,28
2017-12-26,74,13,53,0.0,39
2017-12-27,78,8,54,0.0,43
2017-12-28,54,8,55,0.0,42
2017-12-29,47,10,58,0.0,40
2017-12-30,86,14,50,0.0,22
2017-12-31,86,13,53,0.0,23
