date,Humidity,Windspeed,Temperature,Precipitation,PM2.5
2018-08-08,79,14,74,0.0,13.5
2018-08-09,77,16,73,0.0,7.3
2018-08-10,69,14,73,0.0,8.0
2018-08-11,68,16,71,0.0,7.1
2018-08-12,77,14,71,0.0,7.9
2018-08-13,75,15,72,0.0,8.5
2018-08-14,76,12,72,0.0,6.8
2018-08-15,72,14,71,0.0,7.9
2018-08-16,78,13,71,0.0,12.6
2018-08-17,77,15,72,0.0,14.9
2018-08-18,81,15,72,0.0,15.7
2018-08-19,79,14,72,0.0,15.8
2018-08-20,76,15,70,0.0,19.0
2018-08-21,81,15,70,0.0,16.5
2018-08-22,79,15,69,0.0,14.7
2018-08-23,74,15,69,0.0,21.2
2018-08-24,75,14,68,0.0,37.7
2018-08-25,79,13,68,0.0,24.4
2018-08-26,76,16,70,0.0,16.7
2018-08-27,75,14,65,0.0,13.3
2018-08-28,70,14,67,0.0,10.2
2018-08-29,66,17,70,0.0,8.7
2018-08-30,62,14,68,0.0,10.1
2018-08-31,74,12,68,0.0,13.6
2018-09-01,77,16,69,0.0,13.3
2018-09-02,77,12,69,0.0,12.2
2018-09-03,81,17,68,0.0,9.6
2018-09-04,83,13,67,0.0,5.1
2018-09-05,83,15,67,0.0,4.0
2018-09-06,83,13,66,0.0,7.4
2018-09-07,87,14,66,0.0,10.5
2018-09-08,84,10,68,0.0,12.0
2018-09-09,82,12,67,0.0,11.1
2018-09-10,83,13,68,0.0,11.5
2018-09-11,79,15,65,0.0,9.6
2018-09-12,79,17,64,0.0,9.4
2018-09-13,66,13,66,0.0,8.5
2018-09-14,63,12,66,0.0,7.6
2018-09-15,66,9,67,0.0,8.8
2018-09-16,67,10,65,0.0,5.7
2018-09-17,69,12,65,0.0,6.0
2018-09-18,70,12,64,0.0,8.5
2018-09-19,72,12,65,0.0,10.1
2018-09-20,84,12,63,0.0,13.0
2018-09-21,81,12,66,0.0,14.4
2018-09-22,87,17,63,0.0,8.2
2018-09-23,82,14,65,0.0,7.4
2018-09-24,83,13,64,0.0,8.9
2018-09-25,82,13,63,0.0,10.2
2018-09-26,80,14,66,0.0,12.4
2018-09-27,84,12,67,0.0,11.4
2018-09-28,87,12,66,0.0,11.0
2018-09-29,75,14,63,0.0,8.4
2018-09-30,75,14,63,0.0,6.6
2018-10-01,60,18,67,0.0,4.6
2018-10-02,77,12,67,0.0,4.7
2018-10-03,85,13,64,0.41,3.5
2018-10-04,87,17,65,0.01,2.4
2018-10-05,69,21,65,0.0,4.0
2018-10-06,75,12,65,0.0,6.5
2018-10-07,63,13,64,0.0,6.7
2018-10-08,80,13,65,0.0,9.7
2018-10-09,74,12,64,0.0,9.5
2018-10-10,78,13,63,0.0,7.7
2018-10-11,71,10,62,0.0,5.5
2018-10-12,75,17,63,0.0,5.5
2018-10-13,75,12,66,0.0,7.2
2018-10-14,76,16,63,0.0,5.7
2018-10-15,66,20,63,0.0,6.8
2018-10-16,48,10,63,0.0,6.1
2018-10-17,52,13,63,0.0,6.2
2018-10-18,57,13,64,0.0,7.0
2018-10-19,49,15,68,0.0,5.6
2018-10-20,54,15,68,0.0,5.9
2018-10-21,79,9,64,0.0,10.6
2018-10-22,83,14,62,0.0,12.7
2018-10-23,75,9,64,0.0,10.8
2018-10-24,79,10,62,0.0,11.0
2018-10-25,84,14,62,0.0,11.2
2018-10-26,83,12,61,0.0,11.0
2018-10-27,87,10,63,0.0,7.4
2018-10-28,87,12,61,0.0,7.6
2018-10-29,87,12,60,0.0,10.8
2018-10-30,60,18,62,0.0,9.1
2018-10-31,56,12,60,0.0,6.1
2018-11-01,47,13,63,0.0,4.0
2018-11-02,57,14,65,0.0,7.2
2018-11-03,69,9,64,0.0,8.9
2018-11-04,73,9,64,0.0,9.7
2018-11-05,83,9,61,0.0,10.6
2018-11-06,81,14,62,0.0,11.4
2018-11-07,84,10,58,0.0,9.3
2018-11-08,77,12,60,0.0,10.5
2018-11-09,47,12,57,0.0,7.3
2018-11-10,52,9,55,0.0,5.9
2018-11-11,53,9,59,0.0,16.9
2018-11-12,38,13,58,0.0,8.4
2018-11-13,36,12,56,0.0,6.7
2018-11-14,42,15,57,0.0,6.0
2018-11-15,42,13,59,0.0,6.1
2018-11-16,67,9,56,0.0,11.9
2018-11-17,78,9,57,0.0,19.7
2018-11-18,79,10,58,0.0,22.6
2018-11-19,82,9,56,0.0,22.6
2018-11-20,69,9,57,0.0,15.8
2018-11-21,82,15,57,0.51,11.2
2018-11-22,76,22,58,0.0,6.5
2018-11-23,73,22,59,0.0,2.3
2018-11-24,59,23,67,0.0,1.4
2018-11-25,81,13,60,0.0,6.5
2018-11-26,67,10,60,0.0,4.7
2018-11-27,73,14,58,0.0,5.2
2018-11-28,86,15,55,0.04,5.6
2018-11-29,82,32,60,0.46,4.7
2018-11-30,59,26,57,0.0,4.8
2018-12-01,54,24,56,0.0,3.0
2018-12-02,52,22,54,0.0,3.2
2018-12-03,54,9,54,0.0,5.5
2018-12-04,65,20,54,0.1,4.4
2018-12-05,67,25,58,0.05,1.0
2018-12-06,79,14,59,0.05,2.2
2018-12-07,82,9,55,0.0,6.1
2018-12-08,73,8,55,0.0,6.8
2018-12-09,71,10,55,0.0,6.8
2018-12-10,84,12,56,0.0,5.9
2018-12-11,69,10,54,0.0,7.7
2018-12-12,79,15,53,0.0,12.4
2018-12-13,63,8,57,0.0,8.6
2018-12-14,67,15,56,0.0,7.4
2018-12-15,77,14,52,0.0,9.6
2018-12-16,78,16,53,0.0,7.2
2018-12-17,86,12,56,0.21,4.9
2018-12-18,78,9,54,0.0,6.3
2018-12-19,71,9,54,0.0,6.5
2018-12-20,74,10,53,0.0,6.6
2018-12-21,80,14,58,0.0,9.3
2018-12-22,84,8,54,0.0,9.0
2018-12-23,89,12,53,0.0,9.4
2018-12-24,69,23,60,0.0,5.7
2018-12-25,57,24,55,0.09,2.0
2018-12-26,57,13,54,0.0,5.8
2018-12-29,64,12,47,0.0,7.0
2018-12-30,67,16,52,0.0,7.2
2018-12-31,63,17,50,0.0,6.5
